ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      1.00,      1.00,  74524.00,  13850.00,    673.00, 111476.00, 199513.00,   1050.00, 186000.00, 213363.00,   1723.00,  89047.00, 312039.00, 401086.00
      1.00,      2.00,  16734.00,   3159.00,    129.00,  19603.00,  44480.00,    235.00,  36337.00,  47639.00,    364.00,  20022.00,  64318.00,  84340.00
      1.00,      3.00,   6921.00,   1199.00,    284.00,   2500.00,   5892.00,    184.00,   9421.00,   7091.00,    468.00,   8404.00,   8576.00,  16980.00
      1.00,      4.00,   2531.00,    409.00,    314.00,    338.00,   1074.00,     63.00,   2869.00,   1483.00,    377.00,   3254.00,   1475.00,   4729.00
      1.00,      5.00,    394.00,     92.00,     42.00,     58.00,     79.00,     12.00,    452.00,    171.00,     54.00,    528.00,    149.00,    677.00
      1.00,      6.00,   1371.00,    246.00,    296.00,    229.00,    635.00,    108.00,   1600.00,    881.00,    404.00,   1913.00,    972.00,   2885.00
      1.00,      7.00,    311.00,     56.00,     49.00,     57.00,     96.00,     18.00,    368.00,    152.00,     67.00,    416.00,    171.00,    587.00
      1.00,      8.00,    789.00,    179.00,    520.00,    105.00,    363.00,     89.00,    894.00,    542.00,    609.00,   1488.00,    557.00,   2045.00
      1.00,      9.00,    243.00,     71.00,     41.00,     50.00,     89.00,     10.00,    293.00,    160.00,     51.00,    355.00,    149.00,    504.00
      1.00,     10.00,    103.00,     12.00,      4.00,     21.00,     24.00,         0,    124.00,     36.00,      4.00,    119.00,     45.00,    164.00
      1.00,     11.00,    244.00,     55.00,     24.00,     46.00,    102.00,      5.00,    290.00,    157.00,     29.00,    323.00,    153.00,    476.00
      1.00,     12.00,     97.00,     19.00,      9.00,     20.00,     32.00,         0,    117.00,     51.00,      9.00,    125.00,     52.00,    177.00
      1.00,     15.00,    339.00,     55.00,         0,    102.00,    211.00,         0,    441.00,    266.00,         0,    394.00,    313.00,    707.00
      1.00,     16.00,    274.00,     46.00,         0,     81.00,    204.00,         0,    355.00,    250.00,         0,    320.00,    285.00,    605.00
      1.00,     17.00,   4797.00,    858.00,      5.00,   2647.00,   8056.00,      8.00,   7444.00,   8914.00,     13.00,   5660.00,  10711.00,  16371.00
      1.00,     18.00,   3029.00,    500.00,      3.00,   1714.00,   4544.00,      6.00,   4743.00,   5044.00,      9.00,   3532.00,   6264.00,   9796.00
      1.00,     21.00,     66.00,     21.00,     27.00,      5.00,     11.00,      2.00,     71.00,     32.00,     29.00,    114.00,     18.00,    132.00
      1.00,     22.00,    136.00,     31.00,      2.00,     35.00,     73.00,      3.00,    171.00,    104.00,      5.00,    169.00,    111.00,    280.00
      1.00,     23.00,     84.00,     28.00,      6.00,     15.00,     50.00,      1.00,     99.00,     78.00,      7.00,    118.00,     66.00,    184.00
      1.00,     24.00,     81.00,     20.00,      3.00,     17.00,     37.00,         0,     98.00,     57.00,      3.00,    104.00,     54.00,    158.00
