ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,2
1,Fulton,DRIVEALONEFREE,885
1,Fulton,PNR_PRMTRN,5
1,Fulton,SCHOOL_BUS,77
1,Fulton,SHARED2FREE,478
1,Fulton,SHARED3FREE,341
1,Fulton,TOTAL,1825
1,Fulton,WALK,37
2,Fulton,BIKE,8
2,Fulton,DRIVEALONEFREE,1562
2,Fulton,DRIVEALONEPAY,2
2,Fulton,KNR_PRMTRN,1
2,Fulton,PNR_ALLTRN,1
2,Fulton,PNR_PRMTRN,8
2,Fulton,SCHOOL_BUS,223
2,Fulton,SHARED2FREE,895
2,Fulton,SHARED3FREE,631
2,Fulton,TOTAL,3376
2,Fulton,WALK,45
3,Fulton,BIKE,38
3,Fulton,DRIVEALONEFREE,6352
3,Fulton,DRIVEALONEPAY,5
3,Fulton,KNR_ALLTRN,4
3,Fulton,KNR_PRMTRN,2
3,Fulton,PNR_ALLTRN,3
3,Fulton,PNR_PRMTRN,19
3,Fulton,SCHOOL_BUS,740
3,Fulton,SHARED2FREE,3557
3,Fulton,SHARED3FREE,2596
3,Fulton,TOTAL,13942
3,Fulton,WALK,626
4,Fulton,BIKE,20
4,Fulton,DRIVEALONEFREE,2139
4,Fulton,KNR_ALLTRN,4
4,Fulton,KNR_PRMTRN,4
4,Fulton,PNR_ALLTRN,1
4,Fulton,PNR_PRMTRN,9
4,Fulton,SCHOOL_BUS,334
4,Fulton,SHARED2FREE,1284
4,Fulton,SHARED3FREE,950
4,Fulton,TOTAL,4845
4,Fulton,WALK,100
5,Fulton,BIKE,13
5,Fulton,DRIVEALONEFREE,1967
5,Fulton,KNR_ALLTRN,7
5,Fulton,KNR_PRMTRN,3
5,Fulton,PNR_ALLTRN,2
5,Fulton,PNR_PRMTRN,11
5,Fulton,SCHOOL_BUS,298
5,Fulton,SHARED2FREE,1254
5,Fulton,SHARED3FREE,914
5,Fulton,TOTAL,4603
5,Fulton,WALK,134
6,Fulton,BIKE,3
6,Fulton,DRIVEALONEFREE,411
6,Fulton,SCHOOL_BUS,1
6,Fulton,SHARED2FREE,133
6,Fulton,SHARED3FREE,89
6,Fulton,TOTAL,655
6,Fulton,WALK,18
7,Fulton,BIKE,22
7,Fulton,DRIVEALONEFREE,2912
7,Fulton,KNR_ALLTRN,1
7,Fulton,KNR_PRMTRN,6
7,Fulton,PNR_ALLTRN,3
7,Fulton,PNR_PRMTRN,9
7,Fulton,SCHOOL_BUS,186
7,Fulton,SHARED2FREE,1385
7,Fulton,SHARED3FREE,837
7,Fulton,TOTAL,5592
7,Fulton,WALK,231
8,Fulton,BIKE,16
8,Fulton,DRIVEALONEFREE,876
8,Fulton,KNR_PRMTRN,5
8,Fulton,PNR_PRMTRN,10
8,Fulton,SCHOOL_BUS,109
8,Fulton,SHARED2FREE,415
8,Fulton,SHARED3FREE,280
8,Fulton,TOTAL,1728
8,Fulton,WALK,14
8,Fulton,WALK_ALLTRN,3
9,Fulton,BIKE,3
9,Fulton,DRIVEALONEFREE,421
9,Fulton,KNR_ALLTRN,1
9,Fulton,KNR_PRMTRN,1
9,Fulton,PNR_PRMTRN,1
9,Fulton,SCHOOL_BUS,47
9,Fulton,SHARED2FREE,234
9,Fulton,SHARED3FREE,155
9,Fulton,TOTAL,876
9,Fulton,WALK,13
10,Fulton,BIKE,11
10,Fulton,DRIVEALONEFREE,1083
10,Fulton,KNR_ALLTRN,1
10,Fulton,PNR_PRMTRN,2
10,Fulton,SCHOOL_BUS,323
10,Fulton,SHARED2FREE,708
10,Fulton,SHARED3FREE,603
10,Fulton,TOTAL,2773
10,Fulton,WALK,42
11,Fulton,BIKE,2
11,Fulton,DRIVEALONEFREE,346
11,Fulton,PNR_ALLTRN,2
11,Fulton,SCHOOL_BUS,33
11,Fulton,SHARED2FREE,204
11,Fulton,SHARED3FREE,134
11,Fulton,TOTAL,724
11,Fulton,WALK,3
12,Fulton,DRIVEALONEFREE,153
12,Fulton,KNR_ALLTRN,1
12,Fulton,KNR_PRMTRN,1
12,Fulton,PNR_ALLTRN,1
12,Fulton,PNR_PRMTRN,1
12,Fulton,SCHOOL_BUS,18
12,Fulton,SHARED2FREE,78
12,Fulton,SHARED3FREE,50
12,Fulton,TOTAL,304
12,Fulton,WALK,1
13,Fulton,BIKE,10
13,Fulton,DRIVEALONEFREE,1715
13,Fulton,KNR_ALLTRN,8
13,Fulton,KNR_PRMTRN,6
13,Fulton,PNR_ALLTRN,4
13,Fulton,PNR_PRMTRN,8
13,Fulton,SCHOOL_BUS,289
13,Fulton,SHARED2FREE,973
13,Fulton,SHARED3FREE,929
13,Fulton,TOTAL,4027
13,Fulton,WALK,85
14,Fulton,BIKE,16
14,Fulton,DRIVEALONEFREE,1839
14,Fulton,SCHOOL_BUS,1
14,Fulton,SHARED2FREE,928
14,Fulton,SHARED3FREE,495
14,Fulton,TOTAL,3413
14,Fulton,WALK,134
15,Fulton,BIKE,1
15,Fulton,DRIVEALONEFREE,266
15,Fulton,PNR_PRMTRN,1
15,Fulton,SCHOOL_BUS,40
15,Fulton,SHARED2FREE,102
15,Fulton,SHARED3FREE,80
15,Fulton,TOTAL,494
15,Fulton,WALK,4
16,Fulton,BIKE,4
16,Fulton,DRIVEALONEFREE,678
16,Fulton,DRIVEALONEPAY,1
16,Fulton,KNR_ALLTRN,2
16,Fulton,KNR_PRMTRN,2
16,Fulton,PNR_ALLTRN,1
16,Fulton,PNR_PRMTRN,3
16,Fulton,SCHOOL_BUS,65
16,Fulton,SHARED2FREE,312
16,Fulton,SHARED3FREE,170
16,Fulton,TOTAL,1248
16,Fulton,WALK,10
17,Fulton,BIKE,2
17,Fulton,DRIVEALONEFREE,855
17,Fulton,KNR_ALLTRN,1
17,Fulton,PNR_PRMTRN,3
17,Fulton,SCHOOL_BUS,165
17,Fulton,SHARED2FREE,507
17,Fulton,SHARED3FREE,404
17,Fulton,TOTAL,1951
17,Fulton,WALK,14
18,Fulton,BIKE,8
18,Fulton,DRIVEALONEFREE,773
18,Fulton,KNR_ALLTRN,3
18,Fulton,KNR_PRMTRN,2
