TRIP MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,9661603
AUTO,DRIVEALONE,DRIVEALONEPAY,94306
AUTO,SHARED2,SHARED2FREE,4238116
AUTO,SHARED2,SHARED2PAY,14392
AUTO,SHARED3,SHARED3FREE,2990023
NONMOTORIZED,NONMOTORIZED,BIKE,87105
NONMOTORIZED,NONMOTORIZED,WALK,877679
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,951417
TRANSIT,KNR,KNR_ALLTRN,27417
TRANSIT,KNR,KNR_PRMTRN,23161
TRANSIT,PNR,PNR_ALLTRN,6399
TRANSIT,PNR,PNR_PRMTRN,57905
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,161336
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,46675
