TRIP MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,10530948
AUTO,DRIVEALONE,DRIVEALONEPAY,225482
AUTO,SHARED2,SHARED2FREE,4455238
AUTO,SHARED2,SHARED2PAY,28221
AUTO,SHARED3,SHARED3FREE,3095423
AUTO,SHARED3,SHARED3PAY,10355
NONMOTORIZED,NONMOTORIZED,BIKE,93414
NONMOTORIZED,NONMOTORIZED,WALK,936322
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,966010
TRANSIT,KNR,KNR_ALLTRN,30917
TRANSIT,KNR,KNR_PRMTRN,25275
TRANSIT,PNR,PNR_ALLTRN,6193
TRANSIT,PNR,PNR_PRMTRN,61547
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,173565
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,52381
