ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      1.00,      1.00,  78465.00,  14739.00,    609.00, 117481.00, 200048.00,   1068.00, 195946.00, 214787.00,   1677.00,  93813.00, 318597.00, 412410.00
      1.00,      2.00,  17484.00,   3378.00,    176.00,  20970.00,  45064.00,    262.00,  38454.00,  48442.00,    438.00,  21038.00,  66296.00,  87334.00
      1.00,      3.00,   7246.00,   1238.00,    282.00,   2691.00,   5842.00,    149.00,   9937.00,   7080.00,    431.00,   8766.00,   8682.00,  17448.00
      1.00,      4.00,   2672.00,    410.00,    314.00,    378.00,   1102.00,     61.00,   3050.00,   1512.00,    375.00,   3396.00,   1541.00,   4937.00
      1.00,      5.00,    406.00,     83.00,     50.00,     58.00,    123.00,      6.00,    464.00,    206.00,     56.00,    539.00,    187.00,    726.00
      1.00,      6.00,   1454.00,    249.00,    283.00,    217.00,    633.00,     96.00,   1671.00,    882.00,    379.00,   1986.00,    946.00,   2932.00
      1.00,      7.00,    264.00,     44.00,     62.00,     72.00,    112.00,     13.00,    336.00,    156.00,     75.00,    370.00,    197.00,    567.00
      1.00,      8.00,    826.00,    180.00,    525.00,    126.00,    407.00,     71.00,    952.00,    587.00,    596.00,   1531.00,    604.00,   2135.00
      1.00,      9.00,    257.00,     69.00,     38.00,     54.00,     99.00,     10.00,    311.00,    168.00,     48.00,    364.00,    163.00,    527.00
      1.00,     10.00,     96.00,     16.00,      5.00,     18.00,     14.00,      4.00,    114.00,     30.00,      9.00,    117.00,     36.00,    153.00
      1.00,     11.00,    254.00,     65.00,     38.00,     34.00,    105.00,      6.00,    288.00,    170.00,     44.00,    357.00,    145.00,    502.00
      1.00,     12.00,     68.00,     21.00,     10.00,     25.00,     32.00,      3.00,     93.00,     53.00,     13.00,     99.00,     60.00,    159.00
      1.00,     15.00,    385.00,     76.00,         0,    124.00,    334.00,         0,    509.00,    410.00,         0,    461.00,    458.00,    919.00
      1.00,     16.00,    316.00,     53.00,         0,     95.00,    346.00,         0,    411.00,    399.00,         0,    369.00,    441.00,    810.00
      1.00,     17.00,   5457.00,   1048.00,      5.00,   3074.00,   8524.00,     10.00,   8531.00,   9572.00,     15.00,   6510.00,  11608.00,  18118.00
      1.00,     18.00,   3184.00,    591.00,      5.00,   1933.00,   4621.00,      4.00,   5117.00,   5212.00,      9.00,   3780.00,   6558.00,  10338.00
      1.00,     21.00,     67.00,     17.00,     20.00,      9.00,     17.00,      2.00,     76.00,     34.00,     22.00,    104.00,     28.00,    132.00
      1.00,     22.00,    148.00,     38.00,      4.00,     41.00,     34.00,      1.00,    189.00,     72.00,      5.00,    190.00,     76.00,    266.00
      1.00,     23.00,     85.00,     34.00,     10.00,     18.00,     37.00,      1.00,    103.00,     71.00,     11.00,    129.00,     56.00,    185.00
      1.00,     24.00,     64.00,     18.00,      3.00,     17.00,     29.00,         0,     81.00,     47.00,      3.00,     85.00,     46.00,    131.00
      1.00,     31.00,   1543.00,    283.00,      5.00,    490.00,    926.00,     32.00,   2033.00,   1209.00,     37.00,   1831.00,   1448.00,   3279.00
      1.00,     32.00,   5406.00,   1007.00,     12.00,   3131.00,   8368.00,     11.00,   8537.00,   9375.00,     23.00,   6425.00,  11510.00,  17935.00
      1.00,     33.00,    294.00,     46.00,      2.00,     53.00,     90.00,      1.00,    347.00,    136.00,      3.00,    342.00,    144.00,    486.00
      1.00,     34.00,    932.00,    167.00,      1.00,    242.00,    599.00,     27.00,   1174.00,    766.00,     28.00,   1100.00,    868.00,   1968.00
      1.00,     35.00,   1881.00,    345.00,     26.00,    362.00,    804.00,      9.00,   2243.00,   1149.00,     35.00,   2252.00,   1175.00,   3427.00
