ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,1
1,Fulton,DRIVEALONEFREE,875
1,Fulton,DRIVEALONEPAY,13
1,Fulton,KNR_ALLTRN,2
1,Fulton,KNR_PRMTRN,1
1,Fulton,PNR_PRMTRN,5
1,Fulton,SCHOOL_BUS,71
1,Fulton,SHARED2FREE,467
1,Fulton,SHARED2PAY,1
1,Fulton,SHARED3FREE,330
1,Fulton,SHARED3PAY,3
1,Fulton,TOTAL,1804
1,Fulton,WALK,35
2,Fulton,BIKE,10
2,Fulton,DRIVEALONEFREE,1572
2,Fulton,DRIVEALONEPAY,26
2,Fulton,KNR_ALLTRN,3
2,Fulton,KNR_PRMTRN,5
2,Fulton,PNR_PRMTRN,5
2,Fulton,SCHOOL_BUS,227
2,Fulton,SHARED2FREE,842
2,Fulton,SHARED2PAY,3
2,Fulton,SHARED3FREE,623
2,Fulton,SHARED3PAY,2
2,Fulton,TOTAL,3377
2,Fulton,WALK,59
3,Fulton,BIKE,58
3,Fulton,DRIVEALONEFREE,6518
3,Fulton,DRIVEALONEPAY,60
3,Fulton,KNR_ALLTRN,2
3,Fulton,KNR_PRMTRN,7
3,Fulton,PNR_ALLTRN,3
3,Fulton,PNR_PRMTRN,22
3,Fulton,SCHOOL_BUS,657
3,Fulton,SHARED2FREE,3466
3,Fulton,SHARED2PAY,8
3,Fulton,SHARED3FREE,2524
3,Fulton,SHARED3PAY,5
3,Fulton,TOTAL,13919
3,Fulton,WALK,589
4,Fulton,BIKE,10
4,Fulton,DRIVEALONEFREE,2157
4,Fulton,DRIVEALONEPAY,7
4,Fulton,KNR_ALLTRN,8
4,Fulton,KNR_PRMTRN,2
4,Fulton,PNR_ALLTRN,3
4,Fulton,PNR_PRMTRN,19
4,Fulton,SCHOOL_BUS,348
4,Fulton,SHARED2FREE,1262
4,Fulton,SHARED2PAY,1
4,Fulton,SHARED3FREE,932
4,Fulton,SHARED3PAY,2
4,Fulton,TOTAL,4853
4,Fulton,WALK,102
5,Fulton,BIKE,14
5,Fulton,DRIVEALONEFREE,1915
5,Fulton,KNR_ALLTRN,12
5,Fulton,KNR_PRMTRN,5
5,Fulton,PNR_PRMTRN,11
5,Fulton,SCHOOL_BUS,279
5,Fulton,SHARED2FREE,1155
5,Fulton,SHARED3FREE,907
5,Fulton,TOTAL,4475
5,Fulton,WALK,177
6,Fulton,BIKE,6
6,Fulton,DRIVEALONEFREE,479
6,Fulton,SCHOOL_BUS,4
6,Fulton,SHARED2FREE,171
6,Fulton,SHARED3FREE,99
6,Fulton,TOTAL,777
6,Fulton,WALK,18
7,Fulton,BIKE,35
7,Fulton,DRIVEALONEFREE,2977
7,Fulton,DRIVEALONEPAY,2
7,Fulton,KNR_ALLTRN,2
7,Fulton,KNR_PRMTRN,2
7,Fulton,PNR_PRMTRN,12
7,Fulton,SCHOOL_BUS,169
7,Fulton,SHARED2FREE,1418
7,Fulton,SHARED3FREE,887
7,Fulton,TOTAL,5719
7,Fulton,WALK,215
8,Fulton,BIKE,3
8,Fulton,DRIVEALONEFREE,932
8,Fulton,DRIVEALONEPAY,1
8,Fulton,KNR_ALLTRN,2
8,Fulton,KNR_PRMTRN,1
8,Fulton,PNR_ALLTRN,1
8,Fulton,PNR_PRMTRN,5
8,Fulton,SCHOOL_BUS,110
8,Fulton,SHARED2FREE,446
8,Fulton,SHARED3FREE,254
8,Fulton,TOTAL,1789
8,Fulton,WALK,34
9,Fulton,BIKE,7
9,Fulton,DRIVEALONEFREE,493
9,Fulton,KNR_ALLTRN,2
9,Fulton,PNR_ALLTRN,1
9,Fulton,PNR_PRMTRN,1
9,Fulton,SCHOOL_BUS,56
9,Fulton,SHARED2FREE,264
9,Fulton,SHARED3FREE,141
9,Fulton,TOTAL,971
9,Fulton,WALK,6
10,Fulton,BIKE,3
10,Fulton,DRIVEALONEFREE,1163
10,Fulton,SCHOOL_BUS,307
10,Fulton,SHARED2FREE,732
10,Fulton,SHARED3FREE,600
10,Fulton,TOTAL,2847
10,Fulton,WALK,42
11,Fulton,BIKE,3
11,Fulton,DRIVEALONEFREE,396
11,Fulton,DRIVEALONEPAY,1
11,Fulton,KNR_ALLTRN,1
11,Fulton,PNR_PRMTRN,1
11,Fulton,SCHOOL_BUS,32
11,Fulton,SHARED2FREE,207
11,Fulton,SHARED3FREE,102
11,Fulton,TOTAL,746
11,Fulton,WALK,3
12,Fulton,DRIVEALONEFREE,167
12,Fulton,KNR_PRMTRN,1
12,Fulton,PNR_PRMTRN,1
12,Fulton,SCHOOL_BUS,20
12,Fulton,SHARED2FREE,84
12,Fulton,SHARED3FREE,50
12,Fulton,TOTAL,330
12,Fulton,WALK,7
13,Fulton,BIKE,9
13,Fulton,DRIVEALONEFREE,1937
13,Fulton,KNR_ALLTRN,8
13,Fulton,KNR_PRMTRN,3
13,Fulton,PNR_ALLTRN,4
13,Fulton,PNR_PRMTRN,8
13,Fulton,SCHOOL_BUS,297
13,Fulton,SHARED2FREE,1039
13,Fulton,SHARED3FREE,846
13,Fulton,TOTAL,4237
13,Fulton,WALK,86
14,Fulton,BIKE,21
14,Fulton,DRIVEALONEFREE,2075
14,Fulton,DRIVEALONEPAY,5
14,Fulton,SCHOOL_BUS,1
14,Fulton,SHARED2FREE,915
14,Fulton,SHARED3FREE,535
14,Fulton,TOTAL,3695
14,Fulton,WALK,143
15,Fulton,DRIVEALONEFREE,232
15,Fulton,PNR_PRMTRN,1
15,Fulton,SCHOOL_BUS,31
15,Fulton,SHARED2FREE,131
15,Fulton,SHARED3FREE,103
15,Fulton,TOTAL,504
15,Fulton,WALK,6
16,Fulton,BIKE,7
16,Fulton,DRIVEALONEFREE,822
16,Fulton,DRIVEALONEPAY,5
16,Fulton,KNR_ALLTRN,1
16,Fulton,KNR_PRMTRN,1
16,Fulton,PNR_ALLTRN,1
16,Fulton,PNR_PRMTRN,3
16,Fulton,SCHOOL_BUS,63
16,Fulton,SHARED2FREE,323
16,Fulton,SHARED3FREE,227
16,Fulton,TOTAL,1478
16,Fulton,WALK,25
17,Fulton,BIKE,6
17,Fulton,DRIVEALONEFREE,897
17,Fulton,DRIVEALONEPAY,8
17,Fulton,KNR_ALLTRN,1
17,Fulton,KNR_PRMTRN,3
17,Fulton,PNR_ALLTRN,1
17,Fulton,PNR_PRMTRN,3
17,Fulton,SCHOOL_BUS,174
17,Fulton,SHARED2FREE,555
17,Fulton,SHARED2PAY,1
17,Fulton,SHARED3FREE,390
17,Fulton,SHARED3PAY,4
17,Fulton,TOTAL,2062
17,Fulton,WALK,19
18,Fulton,BIKE,6
18,Fulton,DRIVEALONEFREE,889
18,Fulton,DRIVEALONEPAY,4
18,Fulton,KNR_PRMTRN,5
18,Fulton,PNR_ALLTRN,2
18,Fulton,PNR_PRMTRN,2
18,Fulton,SCHOOL_BUS,194
18,Fulton,SHARED2FREE,531
18,Fulton,SHARED3FREE,416
18,Fulton,TOTAL,2072
18,Fulton,WALK,23
19,Fulton,BIKE,2
19,Fulton,DRIVEALONEFREE,618
19,Fulton,KNR_ALLTRN,1
19,Fulton,PNR_ALLTRN,1
19,Fulton,PNR_PRMTRN,1
19,Fulton,SCHOOL_BUS,59
19,Fulton,SHARED2FREE,376
19,Fulton,SHARED3FREE,237
19,Fulton,TOTAL,1310
19,Fulton,WALK,15
20,Fulton,BIKE,1
20,Fulton,DRIVEALONEFREE,401
20,Fulton,KNR_PRMTRN,2
20,Fulton,PNR_ALLTRN,1
20,Fulton,PNR_PRMTRN,1
20,Fulton,SCHOOL_BUS,20
20,Fulton,SHARED2FREE,261
20,Fulton,SHARED3FREE,157
20,Fulton,TOTAL,848
20,Fulton,WALK,4
21,Fulton,BIKE,1
21,Fulton,DRIVEALONEFREE,379
21,Fulton,KNR_ALLTRN,1
21,Fulton,KNR_PRMTRN,4
21,Fulton,PNR_ALLTRN,1
21,Fulton,PNR_PRMTRN,1
21,Fulton,SCHOOL_BUS,53
21,Fulton,SHARED2FREE,207
21,Fulton,SHARED3FREE,153
21,Fulton,TOTAL,806
21,Fulton,WALK,6
22,Fulton,BIKE,3
22,Fulton,DRIVEALONEFREE,498
22,Fulton,SCHOOL_BUS,59
22,Fulton,SHARED2FREE,266
22,Fulton,SHARED3FREE,183
22,Fulton,TOTAL,1019
22,Fulton,WALK,10
23,Fulton,DRIVEALONEFREE,105
23,Fulton,SCHOOL_BUS,9
23,Fulton,SHARED2FREE,45
23,Fulton,SHARED3FREE,31
23,Fulton,TOTAL,190
24,Fulton,DRIVEALONEFREE,56
24,Fulton,SCHOOL_BUS,1
24,Fulton,SHARED2FREE,24
24,Fulton,SHARED3FREE,11
24,Fulton,TOTAL,92
25,Fulton,BIKE,3
25,Fulton,DRIVEALONEFREE,839
25,Fulton,KNR_PRMTRN,1
25,Fulton,PNR_PRMTRN,1
25,Fulton,SCHOOL_BUS,37
25,Fulton,SHARED2FREE,383
25,Fulton,SHARED3FREE,237
25,Fulton,TOTAL,1521
25,Fulton,WALK,20
26,Fulton,BIKE,14
26,Fulton,DRIVEALONEFREE,1617
26,Fulton,KNR_ALLTRN,6
26,Fulton,KNR_PRMTRN,7
26,Fulton,PNR_PRMTRN,4
26,Fulton,SCHOOL_BUS,226
26,Fulton,SHARED2FREE,981
26,Fulton,SHARED3FREE,792
26,Fulton,TOTAL,3711
26,Fulton,WALK,64
27,Fulton,BIKE,6
27,Fulton,DRIVEALONEFREE,761
27,Fulton,DRIVEALONEPAY,2
27,Fulton,KNR_ALLTRN,1
27,Fulton,KNR_PRMTRN,2
27,Fulton,PNR_ALLTRN,1
27,Fulton,PNR_PRMTRN,1
27,Fulton,SCHOOL_BUS,98
27,Fulton,SHARED2FREE,429
27,Fulton,SHARED3FREE,319
27,Fulton,TOTAL,1644
27,Fulton,WALK,24
28,Fulton,BIKE,2
28,Fulton,DRIVEALONEFREE,846
28,Fulton,PNR_PRMTRN,3
28,Fulton,SCHOOL_BUS,184
28,Fulton,SHARED2FREE,553
28,Fulton,SHARED3FREE,407
28,Fulton,TOTAL,2037
28,Fulton,WALK,42
29,Fulton,BIKE,1
29,Fulton,DRIVEALONEFREE,89
29,Fulton,KNR_PRMTRN,2
29,Fulton,SCHOOL_BUS,4
29,Fulton,SHARED2FREE,27
29,Fulton,SHARED3FREE,27
29,Fulton,TOTAL,150
30,Fulton,BIKE,7
30,Fulton,DRIVEALONEFREE,1305
30,Fulton,KNR_ALLTRN,3
30,Fulton,KNR_PRMTRN,10
30,Fulton,PNR_ALLTRN,5
30,Fulton,PNR_PRMTRN,9
30,Fulton,SCHOOL_BUS,178
30,Fulton,SHARED2FREE,681
30,Fulton,SHARED3FREE,589
30,Fulton,TOTAL,2822
30,Fulton,WALK,35
31,Fulton,BIKE,2
31,Fulton,DRIVEALONEFREE,436
31,Fulton,KNR_ALLTRN,1
31,Fulton,KNR_PRMTRN,2
31,Fulton,PNR_PRMTRN,1
31,Fulton,SCHOOL_BUS,66
31,Fulton,SHARED2FREE,266
31,Fulton,SHARED3FREE,193
31,Fulton,TOTAL,982
31,Fulton,WALK,15
32,Fulton,BIKE,10
32,Fulton,DRIVEALONEFREE,1200
32,Fulton,KNR_ALLTRN,2
32,Fulton,KNR_PRMTRN,5
32,Fulton,PNR_PRMTRN,4
32,Fulton,SCHOOL_BUS,113
32,Fulton,SHARED2FREE,600
32,Fulton,SHARED3FREE,420
