ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      1.00,      1.00,  77027.00,  14688.00,    605.00, 114236.00, 201165.00,   1143.00, 191263.00, 215853.00,   1748.00,  92320.00, 316544.00, 408864.00
      1.00,      2.00,  17399.00,   3293.00,    155.00,  20264.00,  45134.00,    318.00,  37663.00,  48427.00,    473.00,  20847.00,  65716.00,  86563.00
      1.00,      3.00,   7104.00,   1225.00,    300.00,   2611.00,   5848.00,    183.00,   9715.00,   7073.00,    483.00,   8629.00,   8642.00,  17271.00
      1.00,      4.00,   2516.00,    395.00,    342.00,    344.00,   1017.00,     57.00,   2860.00,   1412.00,    399.00,   3253.00,   1418.00,   4671.00
      1.00,      5.00,    431.00,     94.00,     55.00,     56.00,    106.00,      5.00,    487.00,    200.00,     60.00,    580.00,    167.00,    747.00
      1.00,      6.00,   1382.00,    237.00,    274.00,    192.00,    656.00,     93.00,   1574.00,    893.00,    367.00,   1893.00,    941.00,   2834.00
      1.00,      7.00,    335.00,     58.00,     69.00,     62.00,    136.00,     12.00,    397.00,    194.00,     81.00,    462.00,    210.00,    672.00
      1.00,      8.00,    785.00,    150.00,    506.00,    112.00,    434.00,    110.00,    897.00,    584.00,    616.00,   1441.00,    656.00,   2097.00
      1.00,      9.00,    293.00,     69.00,     38.00,     59.00,    116.00,     12.00,    352.00,    185.00,     50.00,    400.00,    187.00,    587.00
      1.00,     10.00,     76.00,     15.00,      3.00,     21.00,     21.00,      1.00,     97.00,     36.00,      4.00,     94.00,     43.00,    137.00
      1.00,     11.00,    247.00,     60.00,     27.00,     27.00,     90.00,      3.00,    274.00,    150.00,     30.00,    334.00,    120.00,    454.00
      1.00,     12.00,    110.00,     20.00,      6.00,     20.00,     48.00,      1.00,    130.00,     68.00,      7.00,    136.00,     69.00,    205.00
      1.00,     15.00,    381.00,     63.00,         0,    102.00,    290.00,         0,    483.00,    353.00,         0,    444.00,    392.00,    836.00
      1.00,     16.00,    324.00,     46.00,         0,     71.00,    256.00,         0,    395.00,    302.00,         0,    370.00,    327.00,    697.00
      1.00,     17.00,   5287.00,    985.00,      1.00,   2934.00,   7689.00,     10.00,   8221.00,   8674.00,     11.00,   6273.00,  10633.00,  16906.00
      1.00,     18.00,   3244.00,    615.00,      4.00,   1755.00,   4574.00,      5.00,   4999.00,   5189.00,      9.00,   3863.00,   6334.00,  10197.00
      1.00,     21.00,     80.00,     18.00,     31.00,     10.00,     24.00,      1.00,     90.00,     42.00,     32.00,    129.00,     35.00,    164.00
      1.00,     22.00,    137.00,     40.00,      8.00,     49.00,     42.00,         0,    186.00,     82.00,      8.00,    185.00,     91.00,    276.00
