ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,5
1,Fulton,DRIVEALONEFREE,857
1,Fulton,DRIVEALONEPAY,2
1,Fulton,KNR_ALLTRN,2
1,Fulton,KNR_PRMTRN,2
1,Fulton,PNR_ALLTRN,1
1,Fulton,PNR_PRMTRN,4
1,Fulton,SCHOOL_BUS,73
1,Fulton,SHARED2FREE,470
1,Fulton,SHARED3FREE,366
1,Fulton,TOTAL,1827
1,Fulton,WALK,45
2,Fulton,BIKE,19
2,Fulton,DRIVEALONEFREE,1640
2,Fulton,DRIVEALONEPAY,3
2,Fulton,KNR_ALLTRN,2
2,Fulton,KNR_PRMTRN,1
2,Fulton,PNR_ALLTRN,2
2,Fulton,PNR_PRMTRN,11
2,Fulton,SCHOOL_BUS,238
2,Fulton,SHARED2FREE,820
2,Fulton,SHARED3FREE,555
2,Fulton,TOTAL,3352
2,Fulton,WALK,61
3,Fulton,BIKE,50
3,Fulton,DRIVEALONEFREE,6604
3,Fulton,DRIVEALONEPAY,8
3,Fulton,KNR_ALLTRN,8
3,Fulton,KNR_PRMTRN,6
3,Fulton,PNR_ALLTRN,4
3,Fulton,PNR_PRMTRN,16
3,Fulton,SCHOOL_BUS,762
3,Fulton,SHARED2FREE,3471
3,Fulton,SHARED2PAY,1
3,Fulton,SHARED3FREE,2452
3,Fulton,TOTAL,13981
3,Fulton,WALK,599
4,Fulton,BIKE,12
4,Fulton,DRIVEALONEFREE,2297
4,Fulton,DRIVEALONEPAY,3
4,Fulton,KNR_ALLTRN,10
4,Fulton,KNR_PRMTRN,2
4,Fulton,PNR_ALLTRN,4
4,Fulton,PNR_PRMTRN,15
4,Fulton,SCHOOL_BUS,316
4,Fulton,SHARED2FREE,1299
4,Fulton,SHARED2PAY,1
4,Fulton,SHARED3FREE,1066
4,Fulton,TOTAL,5096
4,Fulton,WALK,71
5,Fulton,BIKE,11
5,Fulton,DRIVEALONEFREE,1997
5,Fulton,KNR_ALLTRN,6
5,Fulton,KNR_PRMTRN,1
5,Fulton,PNR_ALLTRN,3
5,Fulton,PNR_PRMTRN,21
5,Fulton,SCHOOL_BUS,304
5,Fulton,SHARED2FREE,1090
5,Fulton,SHARED3FREE,894
5,Fulton,TOTAL,4478
5,Fulton,WALK,151
6,Fulton,BIKE,3
6,Fulton,DRIVEALONEFREE,405
6,Fulton,SCHOOL_BUS,3
6,Fulton,SHARED2FREE,155
6,Fulton,SHARED3FREE,109
6,Fulton,TOTAL,690
6,Fulton,WALK,15
7,Fulton,BIKE,17
7,Fulton,DRIVEALONEFREE,3054
7,Fulton,KNR_ALLTRN,4
7,Fulton,KNR_PRMTRN,4
7,Fulton,PNR_ALLTRN,1
7,Fulton,PNR_PRMTRN,14
7,Fulton,SCHOOL_BUS,173
7,Fulton,SHARED2FREE,1396
7,Fulton,SHARED3FREE,784
7,Fulton,TOTAL,5657
7,Fulton,WALK,210
8,Fulton,BIKE,3
8,Fulton,DRIVEALONEFREE,888
