ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      1.00,     75.00,    876.00,    147.00,      3.00,    385.00,    989.00,     11.00,   1261.00,   1136.00,     14.00,   1026.00,   1385.00,   2411.00
      1.00,     76.00,    847.00,    152.00,      3.00,    226.00,    491.00,      4.00,   1073.00,    643.00,      7.00,   1002.00,    721.00,   1723.00
      1.00,     81.00,     81.00,     15.00,      1.00,     23.00,     29.00,         0,    104.00,     44.00,      1.00,     97.00,     52.00,    149.00
      1.00,     82.00,     42.00,      9.00,      1.00,     13.00,     14.00,         0,     55.00,     23.00,      1.00,     52.00,     27.00,     79.00
      1.00,     83.00,     41.00,     14.00,         0,     19.00,     27.00,         0,     60.00,     41.00,         0,     55.00,     46.00,    101.00
      1.00,     91.00,     59.00,      6.00,         0,     18.00,     20.00,         0,     77.00,     26.00,         0,     65.00,     38.00,    103.00
      1.00,     92.00,     85.00,     15.00,         0,     23.00,     47.00,      1.00,    108.00,     62.00,      1.00,    100.00,     71.00,    171.00
      1.00,    101.00,    290.00,     46.00,         0,     53.00,     65.00,         0,    343.00,    111.00,         0,    336.00,    118.00,    454.00
      1.00,    102.00,    212.00,     33.00,         0,     45.00,    107.00,         0,    257.00,    140.00,         0,    245.00,    152.00,    397.00
      1.00,    111.00,     48.00,      7.00,         0,     16.00,     36.00,         0,     64.00,     43.00,         0,     55.00,     52.00,    107.00
      1.00,    112.00,     80.00,     18.00,         0,     35.00,     39.00,         0,    115.00,     57.00,         0,     98.00,     74.00,    172.00
      1.00,    113.00,     81.00,     12.00,         0,     19.00,     72.00,         0,    100.00,     84.00,         0,     93.00,     91.00,    184.00
      1.00,    114.00,    240.00,     40.00,         0,     54.00,    146.00,         0,    294.00,    186.00,         0,    280.00,    200.00,    480.00
      1.00,    121.00,     10.00,      2.00,         0,      4.00,      6.00,         0,     14.00,      8.00,         0,     12.00,     10.00,     22.00
      1.00,    122.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,    123.00,      3.00,         0,         0,      1.00,      7.00,         0,      4.00,      7.00,         0,      3.00,      8.00,     11.00
      1.00,    124.00,      1.00,         0,         0,         0,         0,         0,      1.00,         0,         0,      1.00,         0,      1.00
      1.00,    131.00,      5.00,      1.00,         0,      1.00,      1.00,         0,      6.00,      2.00,         0,      6.00,      2.00,      8.00
