TRIP MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,11153718
AUTO,DRIVEALONE,DRIVEALONEPAY,239607
AUTO,SHARED2,SHARED2FREE,4742989
AUTO,SHARED2,SHARED2PAY,29565
AUTO,SHARED3,SHARED3FREE,3279569
AUTO,SHARED3,SHARED3PAY,10866
NONMOTORIZED,NONMOTORIZED,BIKE,98515
NONMOTORIZED,NONMOTORIZED,WALK,990167
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,1000292
TRANSIT,KNR,KNR_ALLTRN,32635
TRANSIT,KNR,KNR_PRMTRN,26425
TRANSIT,PNR,PNR_ALLTRN,6192
TRANSIT,PNR,PNR_PRMTRN,62646
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,182378
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,55890
