ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      1.00,      1.00,  78645.00,  15057.00,    690.00, 119410.00, 203382.00,   1226.00, 198055.00, 218439.00,   1916.00,  94392.00, 324018.00, 418410.00
      1.00,      2.00,  17897.00,   3390.00,    184.00,  21258.00,  46567.00,    361.00,  39155.00,  49957.00,    545.00,  21471.00,  68186.00,  89657.00
      1.00,      3.00,   7224.00,   1290.00,    288.00,   2659.00,   5991.00,    139.00,   9883.00,   7281.00,    427.00,   8802.00,   8789.00,  17591.00
      1.00,      4.00,   2651.00,    419.00,    327.00,    354.00,    909.00,     69.00,   3005.00,   1328.00,    396.00,   3397.00,   1332.00,   4729.00
      1.00,      5.00,    403.00,     78.00,     41.00,     52.00,    118.00,      8.00,    455.00,    196.00,     49.00,    522.00,    178.00,    700.00
      1.00,      6.00,   1505.00,    259.00,    293.00,    204.00,    661.00,     83.00,   1709.00,    920.00,    376.00,   2057.00,    948.00,   3005.00
      1.00,      7.00,    286.00,     56.00,     53.00,     65.00,    113.00,     18.00,    351.00,    169.00,     71.00,    395.00,    196.00,    591.00
      1.00,      8.00,    799.00,    158.00,    571.00,    112.00,    425.00,     72.00,    911.00,    583.00,    643.00,   1528.00,    609.00,   2137.00
      1.00,      9.00,    279.00,     65.00,     58.00,     45.00,    126.00,      6.00,    324.00,    191.00,     64.00,    402.00,    177.00,    579.00
      1.00,     10.00,     96.00,     12.00,      5.00,     24.00,     83.00,      1.00,    120.00,     95.00,      6.00,    113.00,    108.00,    221.00
      1.00,     11.00,    236.00,     68.00,     23.00,     30.00,     64.00,      3.00,    266.00,    132.00,     26.00,    327.00,     97.00,    424.00
      1.00,     12.00,     69.00,     17.00,      7.00,     25.00,     27.00,      2.00,     94.00,     44.00,      9.00,     93.00,     54.00,    147.00
      1.00,     15.00,    423.00,     73.00,         0,    116.00,    295.00,         0,    539.00,    368.00,         0,    496.00,    411.00,    907.00
      1.00,     16.00,    353.00,     65.00,         0,    106.00,    297.00,         0,    459.00,    362.00,         0,    418.00,    403.00,    821.00
      1.00,     17.00,   5817.00,   1014.00,      2.00,   3294.00,   9373.00,      9.00,   9111.00,  10387.00,     11.00,   6833.00,  12676.00,  19509.00
      1.00,     18.00,   3324.00,    643.00,      4.00,   2113.00,   5077.00,      2.00,   5437.00,   5720.00,      6.00,   3971.00,   7192.00,  11163.00
      1.00,     21.00,     68.00,     21.00,     25.00,      7.00,     28.00,         0,     75.00,     49.00,     25.00,    114.00,     35.00,    149.00
      1.00,     22.00,    135.00,     30.00,      7.00,     26.00,    106.00,         0,    161.00,    136.00,      7.00,    172.00,    132.00,    304.00
      1.00,     23.00,     85.00,     37.00,      6.00,     13.00,     25.00,         0,     98.00,     62.00,      6.00,    128.00,     38.00,    166.00
      1.00,     24.00,     74.00,     17.00,      3.00,     23.00,     34.00,         0,     97.00,     51.00,      3.00,     94.00,     57.00,    151.00
      1.00,     31.00,   1539.00,    250.00,      4.00,    500.00,    952.00,     32.00,   2039.00,   1202.00,     36.00,   1793.00,   1484.00,   3277.00
      1.00,     32.00,   5201.00,    987.00,     18.00,   3304.00,   8359.00,      5.00,   8505.00,   9346.00,     23.00,   6206.00,  11668.00,  17874.00
      1.00,     33.00,    254.00,     48.00,         0,     56.00,    129.00,         0,    310.00,    177.00,         0,    302.00,    185.00,    487.00
      1.00,     34.00,    930.00,    182.00,      7.00,    280.00,    807.00,     16.00,   1210.00,    989.00,     23.00,   1119.00,   1103.00,   2222.00
      1.00,     35.00,   1844.00,    361.00,     22.00,    368.00,    788.00,      7.00,   2212.00,   1149.00,     29.00,   2227.00,   1163.00,   3390.00
      1.00,     36.00,    386.00,     51.00,      8.00,    116.00,    204.00,      1.00,    502.00,    255.00,      9.00,    445.00,    321.00,    766.00
      1.00,     41.00,   4586.00,    828.00,    205.00,   1438.00,   3613.00,     57.00,   6024.00,   4441.00,    262.00,   5619.00,   5108.00,  10727.00
      1.00,     43.00,   1025.00,    184.00,     46.00,    207.00,    924.00,     46.00,   1232.00,   1108.00,     92.00,   1255.00,   1177.00,   2432.00
      1.00,     44.00,   1480.00,    261.00,     27.00,    366.00,    856.00,     21.00,   1846.00,   1117.00,     48.00,   1768.00,   1243.00,   3011.00
      1.00,     45.00,     96.00,     16.00,     18.00,     19.00,     31.00,      1.00,    115.00,     47.00,     19.00,    130.00,     51.00,    181.00
      1.00,     46.00,    139.00,     29.00,     25.00,     30.00,     43.00,      1.00,    169.00,     72.00,     26.00,    193.00,     74.00,    267.00
      1.00,     47.00,    314.00,     54.00,     25.00,     54.00,     98.00,     11.00,    368.00,    152.00,     36.00,    393.00,    163.00,    556.00
      1.00,     48.00,    322.00,     66.00,     18.00,     54.00,    102.00,      4.00,    376.00,    168.00,     22.00,    406.00,    160.00,    566.00
      1.00,     49.00,    255.00,     45.00,     14.00,     66.00,    185.00,         0,    321.00,    230.00,     14.00,    314.00,    251.00,    565.00
      1.00,     51.00,     50.00,      8.00,      1.00,     15.00,    105.00,         0,     65.00,    113.00,      1.00,     59.00,    120.00,    179.00
      1.00,     52.00,    112.00,     21.00,      2.00,     24.00,     50.00,      2.00,    136.00,     71.00,      4.00,    135.00,     76.00,    211.00
      1.00,     61.00,     20.00,      2.00,         0,     10.00,      6.00,         0,     30.00,      8.00,         0,     22.00,     16.00,     38.00
      1.00,     62.00,     36.00,      7.00,         0,     12.00,     11.00,         0,     48.00,     18.00,         0,     43.00,     23.00,     66.00
      1.00,     71.00,   5383.00,    994.00,      2.00,   2435.00,   6271.00,     10.00,   7818.00,   7265.00,     12.00,   6379.00,   8716.00,  15095.00
      1.00,     72.00,   9551.00,   1798.00,     19.00,   8302.00,  19294.00,     41.00,  17853.00,  21092.00,     60.00,  11368.00,  27637.00,  39005.00
      1.00,     73.00,    840.00,    150.00,         0,    166.00,    284.00,         0,   1006.00,    434.00,         0,    990.00,    450.00,   1440.00
      1.00,     74.00,   7281.00,   1472.00,     26.00,   4418.00,  10764.00,     37.00,  11699.00,  12236.00,     63.00,   8779.00,  15219.00,  23998.00
      1.00,     75.00,    902.00,    154.00,      2.00,    373.00,    812.00,      2.00,   1275.00,    966.00,      4.00,   1058.00,   1187.00,   2245.00
      1.00,     76.00,    916.00,    154.00,      1.00,    215.00,    440.00,      6.00,   1131.00,    594.00,      7.00,   1071.00,    661.00,   1732.00
      1.00,     81.00,     88.00,     17.00,      2.00,     17.00,     34.00,         0,    105.00,     51.00,      2.00,    107.00,     51.00,    158.00
      1.00,     82.00,     43.00,     14.00,         0,     15.00,      7.00,         0,     58.00,     21.00,         0,     57.00,     22.00,     79.00
      1.00,     83.00,     44.00,     15.00,      1.00,     16.00,     25.00,         0,     60.00,     40.00,      1.00,     60.00,     41.00,    101.00
      1.00,     91.00,     72.00,      7.00,      3.00,     14.00,     42.00,      1.00,     86.00,     49.00,      4.00,     82.00,     57.00,    139.00
      1.00,     92.00,    108.00,     22.00,      2.00,     27.00,     43.00,         0,    135.00,     65.00,      2.00,    132.00,     70.00,    202.00
      1.00,    101.00,    369.00,     40.00,         0,     61.00,    104.00,         0,    430.00,    144.00,         0,    409.00,    165.00,    574.00
      1.00,    102.00,    231.00,     36.00,         0,     28.00,     62.00,         0,    259.00,     98.00,         0,    267.00,     90.00,    357.00
      1.00,    111.00,     38.00,     10.00,         0,     18.00,     51.00,         0,     56.00,     61.00,         0,     48.00,     69.00,    117.00
      1.00,    112.00,     89.00,     16.00,         0,     29.00,     95.00,         0,    118.00,    111.00,         0,    105.00,    124.00,    229.00
      1.00,    113.00,     58.00,     16.00,         0,     20.00,     53.00,      1.00,     78.00,     69.00,      1.00,     74.00,     74.00,    148.00
      1.00,    114.00,    247.00,     44.00,         0,     80.00,     51.00,      1.00,    327.00,     95.00,      1.00,    291.00,    132.00,    423.00
      1.00,    121.00,     12.00,      1.00,         0,      4.00,      5.00,         0,     16.00,      6.00,         0,     13.00,      9.00,     22.00
      1.00,    122.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,    123.00,      5.00,         0,         0,      6.00,     17.00,         0,     11.00,     17.00,         0,      5.00,     23.00,     28.00
      1.00,    124.00,      2.00,         0,         0,         0,      1.00,         0,      2.00,      1.00,         0,      2.00,      1.00,      3.00
      1.00,    131.00,      1.00,         0,         0,      3.00,         0,         0,      4.00,         0,         0,      1.00,      3.00,      4.00
      1.00,    132.00,     14.00,      2.00,      2.00,      4.00,      2.00,         0,     18.00,      4.00,      2.00,     18.00,      6.00,     24.00
      1.00,    133.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,    134.00,      1.00,      1.00,         0,         0,      1.00,         0,      1.00,      2.00,         0,      2.00,      1.00,      3.00
      1.00,    141.00,   2862.00,    481.00,         0,    573.00,   1437.00,      1.00,   3435.00,   1918.00,      1.00,   3343.00,   2011.00,   5354.00
      1.00,    142.00,  10897.00,   1837.00,     14.00,   4490.00,  11758.00,     18.00,  15387.00,  13595.00,     32.00,  12748.00,  16266.00,  29014.00
