ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,5
1,Fulton,DRIVEALONEFREE,986
1,Fulton,DRIVEALONEPAY,22
1,Fulton,KNR_PRMTRN,2
1,Fulton,PNR_PRMTRN,3
1,Fulton,SCHOOL_BUS,65
1,Fulton,SHARED2FREE,430
1,Fulton,SHARED2PAY,6
1,Fulton,SHARED3FREE,317
1,Fulton,SHARED3PAY,2
1,Fulton,TOTAL,1858
1,Fulton,WALK,20
2,Fulton,BIKE,10
2,Fulton,DRIVEALONEFREE,1742
2,Fulton,DRIVEALONEPAY,28
2,Fulton,KNR_ALLTRN,5
2,Fulton,KNR_PRMTRN,1
2,Fulton,PNR_ALLTRN,1
2,Fulton,PNR_PRMTRN,8
2,Fulton,SCHOOL_BUS,218
2,Fulton,SHARED2FREE,871
2,Fulton,SHARED2PAY,10
2,Fulton,SHARED3FREE,591
2,Fulton,SHARED3PAY,5
2,Fulton,TOTAL,3539
2,Fulton,WALK,49
3,Fulton,BIKE,42
3,Fulton,DRIVEALONEFREE,6626
3,Fulton,DRIVEALONEPAY,98
3,Fulton,KNR_ALLTRN,6
3,Fulton,KNR_PRMTRN,6
3,Fulton,PNR_ALLTRN,3
3,Fulton,PNR_PRMTRN,18
3,Fulton,SCHOOL_BUS,792
3,Fulton,SHARED2FREE,3625
3,Fulton,SHARED2PAY,7
3,Fulton,SHARED3FREE,2634
3,Fulton,SHARED3PAY,11
3,Fulton,TOTAL,14447
3,Fulton,WALK,579
4,Fulton,BIKE,13
4,Fulton,DRIVEALONEFREE,2249
4,Fulton,DRIVEALONEPAY,35
4,Fulton,KNR_ALLTRN,11
4,Fulton,KNR_PRMTRN,2
4,Fulton,PNR_ALLTRN,4
4,Fulton,PNR_PRMTRN,9
4,Fulton,SCHOOL_BUS,339
4,Fulton,SHARED2FREE,1274
4,Fulton,SHARED2PAY,2
4,Fulton,SHARED3FREE,927
4,Fulton,SHARED3PAY,10
4,Fulton,TOTAL,4981
4,Fulton,WALK,106
5,Fulton,BIKE,11
5,Fulton,DRIVEALONEFREE,2048
5,Fulton,DRIVEALONEPAY,31
5,Fulton,KNR_ALLTRN,6
5,Fulton,KNR_PRMTRN,7
5,Fulton,PNR_ALLTRN,2
5,Fulton,PNR_PRMTRN,24
5,Fulton,SCHOOL_BUS,278
5,Fulton,SHARED2FREE,1308
5,Fulton,SHARED2PAY,1
5,Fulton,SHARED3FREE,876
5,Fulton,SHARED3PAY,2
5,Fulton,TOTAL,4737
5,Fulton,WALK,143
6,Fulton,BIKE,9
6,Fulton,DRIVEALONEFREE,965
6,Fulton,DRIVEALONEPAY,9
6,Fulton,KNR_ALLTRN,1
6,Fulton,SCHOOL_BUS,1
6,Fulton,SHARED2FREE,456
6,Fulton,SHARED2PAY,1
6,Fulton,SHARED3FREE,281
6,Fulton,TOTAL,1754
6,Fulton,WALK,31
7,Fulton,BIKE,28
7,Fulton,DRIVEALONEFREE,2999
7,Fulton,DRIVEALONEPAY,33
