TRIP MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,11834991
AUTO,DRIVEALONE,DRIVEALONEPAY,504598
AUTO,SHARED2,SHARED2FREE,5166128
AUTO,SHARED2,SHARED2PAY,64182
AUTO,SHARED3,SHARED3FREE,3550254
AUTO,SHARED3,SHARED3PAY,46670
NONMOTORIZED,NONMOTORIZED,BIKE,106072
NONMOTORIZED,NONMOTORIZED,WALK,1071070
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,1089846
TRANSIT,KNR,KNR_ALLTRN,33670
TRANSIT,KNR,KNR_PRMTRN,29164
TRANSIT,PNR,PNR_ALLTRN,5695
TRANSIT,PNR,PNR_PRMTRN,63481
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,192545
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,61907
