ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      9.00,     48.00,   1059.00,    203.00,     56.00,    357.00,    820.00,     35.00,   1416.00,   1023.00,     91.00,   1318.00,   1212.00,   2530.00
      9.00,     49.00,   2067.00,    459.00,     47.00,   1691.00,   4020.00,     60.00,   3758.00,   4479.00,    107.00,   2573.00,   5771.00,   8344.00
      9.00,     51.00,    290.00,     46.00,         0,     90.00,    284.00,      3.00,    380.00,    330.00,      3.00,    336.00,    377.00,    713.00
      9.00,     52.00,    491.00,    104.00,      8.00,    228.00,    575.00,     12.00,    719.00,    679.00,     20.00,    603.00,    815.00,   1418.00
      9.00,     61.00,    312.00,     64.00,      2.00,     93.00,    206.00,      3.00,    405.00,    270.00,      5.00,    378.00,    302.00,    680.00
      9.00,     62.00,    478.00,     84.00,      2.00,    171.00,    430.00,      3.00,    649.00,    514.00,      5.00,    564.00,    604.00,   1168.00
      9.00,     71.00,    128.00,     32.00,      2.00,     55.00,    103.00,      2.00,    183.00,    135.00,      4.00,    162.00,    160.00,    322.00
      9.00,     72.00,    341.00,     92.00,     19.00,     98.00,    151.00,      6.00,    439.00,    243.00,     25.00,    452.00,    255.00,    707.00
      9.00,     73.00,     70.00,     19.00,         0,     24.00,     53.00,      2.00,     94.00,     72.00,      2.00,     89.00,     79.00,    168.00
      9.00,     74.00,    438.00,    114.00,     54.00,    101.00,    299.00,     17.00,    539.00,    413.00,     71.00,    606.00,    417.00,   1023.00
      9.00,     75.00,    227.00,     49.00,      4.00,     73.00,    118.00,      6.00,    300.00,    167.00,     10.00,    280.00,    197.00,    477.00
      9.00,     76.00,    301.00,     64.00,      2.00,     87.00,    167.00,      6.00,    388.00,    231.00,      8.00,    367.00,    260.00,    627.00
      9.00,     81.00,   1055.00,    197.00,      8.00,    419.00,   1148.00,      9.00,   1474.00,   1345.00,     17.00,   1260.00,   1576.00,   2836.00
      9.00,     82.00,    393.00,     73.00,         0,    104.00,    216.00,      3.00,    497.00,    289.00,      3.00,    466.00,    323.00,    789.00
      9.00,     83.00,    815.00,    138.00,         0,    180.00,    428.00,      3.00,    995.00,    566.00,      3.00,    953.00,    611.00,   1564.00
      9.00,     91.00,    253.00,     65.00,      2.00,     72.00,    172.00,      1.00,    325.00,    237.00,      3.00,    320.00,    245.00,    565.00
      9.00,     92.00,    266.00,     66.00,      2.00,     67.00,    115.00,      2.00,    333.00,    181.00,      4.00,    334.00,    184.00,    518.00
      9.00,    101.00,     17.00,      6.00,         0,      4.00,     20.00,         0,     21.00,     26.00,         0,     23.00,     24.00,     47.00
      9.00,    102.00,     13.00,      2.00,         0,      3.00,     10.00,         0,     16.00,     12.00,         0,     15.00,     13.00,     28.00
      9.00,    111.00,      4.00,      1.00,         0,      2.00,      7.00,         0,      6.00,      8.00,         0,      5.00,      9.00,     14.00
      9.00,    112.00,      1.00,      1.00,         0,      2.00,     10.00,         0,      3.00,     11.00,         0,      2.00,     12.00,     14.00
      9.00,    113.00,     12.00,      1.00,         0,      6.00,     46.00,         0,     18.00,     47.00,         0,     13.00,     52.00,     65.00
      9.00,    114.00,     23.00,      8.00,         0,     10.00,     74.00,         0,     33.00,     82.00,         0,     31.00,     84.00,    115.00
      9.00,    121.00,     48.00,      6.00,         0,     22.00,     50.00,         0,     70.00,     56.00,         0,     54.00,     72.00,    126.00
      9.00,    122.00,     11.00,         0,         0,      3.00,     18.00,         0,     14.00,     18.00,         0,     11.00,     21.00,     32.00
      9.00,    123.00,     30.00,      6.00,         0,     18.00,     12.00,         0,     48.00,     18.00,         0,     36.00,     30.00,     66.00
      9.00,    124.00,      4.00,      3.00,         0,      2.00,     20.00,         0,      6.00,     23.00,         0,      7.00,     22.00,     29.00
      9.00,    131.00,     93.00,     16.00,         0,     19.00,     63.00,         0,    112.00,     79.00,         0,    109.00,     82.00,    191.00
      9.00,    132.00,    536.00,     84.00,      2.00,    130.00,    289.00,      2.00,    666.00,    373.00,      4.00,    622.00,    421.00,   1043.00
      9.00,    133.00,     30.00,      7.00,         0,      6.00,     23.00,         0,     36.00,     30.00,         0,     37.00,     29.00,     66.00
      9.00,    134.00,     64.00,      8.00,         0,     21.00,     44.00,         0,     85.00,     52.00,         0,     72.00,     65.00,    137.00
      9.00,    141.00,     16.00,      3.00,         0,     13.00,     63.00,         0,     29.00,     66.00,         0,     19.00,     76.00,     95.00
      9.00,    142.00,     33.00,     12.00,         0,     23.00,     97.00,      4.00,     56.00,    109.00,      4.00,     45.00,    124.00,    169.00
      9.00,    143.00,     36.00,      8.00,      1.00,     27.00,     88.00,      5.00,     63.00,     96.00,      6.00,     45.00,    120.00,    165.00
