AXIS,QUANTITY,CHART
Jobs Housing Balance,0.06902481,AEROTROPOLIS
Jobs Housing Balance,0.210293512,BUCKHEAD
Jobs Housing Balance,0.079691874,CITY CENTER
Jobs Housing Balance,0.212257589,CUMBERLAND
Jobs Housing Balance,0.014627112,DORAVILLE ASSEMBLY
Jobs Housing Balance,0.026932934,EMORY
Jobs Housing Balance,0.575153824,FT MCPHERSON
Jobs Housing Balance,0.12017347,FULTON INDUSTRIAL
Jobs Housing Balance,0.385908433,GWINNETT
Jobs Housing Balance,0.01766171,HARTSFIELD
Jobs Housing Balance,0.045909299,LOCKHEED/DOBBINS
Jobs Housing Balance,0.209338426,MIDTOWN
Jobs Housing Balance,0.295614828,NEWNAN
Jobs Housing Balance,0.129037024,NORTH POINT
Jobs Housing Balance,0.190701354,PEACHTREE CORNERS
Jobs Housing Balance,0.108842836,PERIMETER
Jobs Housing Balance,0.771268657,STOCKBRIDGE
Jobs Housing Balance,0.1545331,STONECREST
Jobs Housing Balance,0.282627206,TOWN CENTER
Jobs Housing Balance,0.619202226,TRIBUTARY
Jobs Housing Balance,0.175345343,WINDWARD
Accessible Employment,970606,BUCKHEAD
Accessible Employment,80165,NEWNAN
Accessible Employment,909111,CUMBERLAND
Accessible Employment,690787,DORAVILLE ASSEMBLY
Accessible Employment,846821,HARTSFIELD
Accessible Employment,694225,EMORY
Accessible Employment,149174,STONECREST
Accessible Employment,161009,TRIBUTARY
Accessible Employment,1346779,MIDTOWN
Accessible Employment,389888,NORTH POINT
Accessible Employment,402065,TOWN CENTER
Accessible Employment,542825,FULTON INDUSTRIAL
Accessible Employment,457717,LOCKHEED/DOBBINS
Accessible Employment,1150892,PERIMETER
Accessible Employment,309301,STOCKBRIDGE
Accessible Employment,396012,PEACHTREE CORNERS
Accessible Employment,654807,AEROTROPOLIS
Accessible Employment,421262,WINDWARD
Accessible Employment,745735,FT MCPHERSON
Accessible Employment,1537083,CITY CENTER
Accessible Employment,447051,GWINNETT
Transit Mode Share,0.016101805,AEROTROPOLIS
Transit Mode Share,0.054512034,BUCKHEAD
Transit Mode Share,0.155284848,CITY CENTER
Transit Mode Share,0.035779026,CUMBERLAND
Transit Mode Share,0.070615034,DORAVILLE ASSEMBLY
Transit Mode Share,0.117269301,EMORY
Transit Mode Share,0.122903647,FT MCPHERSON
Transit Mode Share,0.016986431,FULTON INDUSTRIAL
Transit Mode Share,0.010371019,GWINNETT
Transit Mode Share,0.04500776,HARTSFIELD
Transit Mode Share,0.051190802,LOCKHEED/DOBBINS
Transit Mode Share,0.149677539,MIDTOWN
Transit Mode Share,0.002856086,NEWNAN
Transit Mode Share,0.030856934,NORTH POINT
Transit Mode Share,0.019265958,PEACHTREE CORNERS
Transit Mode Share,0.039673666,PERIMETER
Transit Mode Share,0.008166641,STOCKBRIDGE
Transit Mode Share,0.027822522,STONECREST
Transit Mode Share,0.013517708,TOWN CENTER
Transit Mode Share,0.003905932,TRIBUTARY
Transit Mode Share,0.016829184,WINDWARD
Zero Car Transit Trips Per HH,0.118623962,AEROTROPOLIS
Zero Car Transit Trips Per HH,0.315507405,BUCKHEAD
Zero Car Transit Trips Per HH,1.943123136,CITY CENTER
Zero Car Transit Trips Per HH,0.186969931,CUMBERLAND
Zero Car Transit Trips Per HH,2.014084507,DORAVILLE ASSEMBLY
Zero Car Transit Trips Per HH,2.87432675,EMORY
Zero Car Transit Trips Per HH,0.355578197,FT MCPHERSON
Zero Car Transit Trips Per HH,0.128521684,FULTON INDUSTRIAL
Zero Car Transit Trips Per HH,0.024382733,GWINNETT
Zero Car Transit Trips Per HH,1.933048433,HARTSFIELD
Zero Car Transit Trips Per HH,0.35619469,LOCKHEED/DOBBINS
Zero Car Transit Trips Per HH,0.624499951,MIDTOWN
Zero Car Transit Trips Per HH,0.000305857,NEWNAN
Zero Car Transit Trips Per HH,0.109457293,NORTH POINT
Zero Car Transit Trips Per HH,0.042971451,PEACHTREE CORNERS
Zero Car Transit Trips Per HH,0.305193386,PERIMETER
Zero Car Transit Trips Per HH,0.003870343,STOCKBRIDGE
Zero Car Transit Trips Per HH,0.124371859,STONECREST
Zero Car Transit Trips Per HH,0.0586952,TOWN CENTER
Zero Car Transit Trips Per HH,0.032855328,WINDWARD
