ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      1.00,      1.00,  78317.00,  14347.00,   1482.00, 128629.00, 214533.00,   1862.00, 206946.00, 228880.00,   3344.00,  94146.00, 345024.00, 439170.00
      1.00,      2.00,  16927.00,   2998.00,    408.00,  23424.00,  48474.00,    550.00,  40351.00,  51472.00,    958.00,  20333.00,  72448.00,  92781.00
      1.00,      3.00,   8419.00,   1371.00,    503.00,   3127.00,   6492.00,    241.00,  11546.00,   7863.00,    744.00,  10293.00,   9860.00,  20153.00
      1.00,      4.00,   3307.00,    465.00,    450.00,    437.00,   1082.00,     74.00,   3744.00,   1547.00,    524.00,   4222.00,   1593.00,   5815.00
      1.00,      5.00,    526.00,     95.00,     68.00,     96.00,    167.00,     11.00,    622.00,    262.00,     79.00,    689.00,    274.00,    963.00
      1.00,      6.00,   1706.00,    299.00,    453.00,    242.00,    699.00,    135.00,   1948.00,    998.00,    588.00,   2458.00,   1076.00,   3534.00
      1.00,      7.00,    373.00,     74.00,     77.00,     85.00,    171.00,     20.00,    458.00,    245.00,     97.00,    524.00,    276.00,    800.00
      1.00,      8.00,    910.00,    190.00,    680.00,    134.00,    447.00,     96.00,   1044.00,    637.00,    776.00,   1780.00,    677.00,   2457.00
      1.00,      9.00,    339.00,     78.00,     69.00,     64.00,    118.00,      8.00,    403.00,    196.00,     77.00,    486.00,    190.00,    676.00
      1.00,     10.00,     92.00,     19.00,      3.00,     36.00,     26.00,      1.00,    128.00,     45.00,      4.00,    114.00,     63.00,    177.00
      1.00,     11.00,    275.00,     59.00,     48.00,     47.00,     59.00,      8.00,    322.00,    118.00,     56.00,    382.00,    114.00,    496.00
      1.00,     12.00,     84.00,      9.00,      9.00,     21.00,     63.00,      3.00,    105.00,     72.00,     12.00,    102.00,     87.00,    189.00
      1.00,     15.00,    445.00,     63.00,         0,    106.00,    445.00,         0,    551.00,    508.00,         0,    508.00,    551.00,   1059.00
      1.00,     16.00,    378.00,     70.00,         0,    131.00,    294.00,         0,    509.00,    364.00,         0,    448.00,    425.00,    873.00
      1.00,     17.00,   6685.00,   1209.00,     13.00,   4361.00,  12116.00,     14.00,  11046.00,  13325.00,     27.00,   7907.00,  16491.00,  24398.00
      1.00,     18.00,   3446.00,    643.00,     20.00,   2526.00,   6003.00,     18.00,   5972.00,   6646.00,     38.00,   4109.00,   8547.00,  12656.00
      1.00,     21.00,     76.00,     19.00,     39.00,     14.00,     13.00,      1.00,     90.00,     32.00,     40.00,    134.00,     28.00,    162.00
      1.00,     22.00,    141.00,     50.00,      6.00,     31.00,     49.00,      1.00,    172.00,     99.00,      7.00,    197.00,     81.00,    278.00
      1.00,     23.00,     92.00,     25.00,      5.00,     13.00,     78.00,         0,    105.00,    103.00,      5.00,    122.00,     91.00,    213.00
      1.00,     24.00,     76.00,     19.00,      2.00,     15.00,     30.00,      1.00,     91.00,     49.00,      3.00,     97.00,     46.00,    143.00
      1.00,     31.00,   1403.00,    272.00,      9.00,    462.00,   1148.00,     23.00,   1865.00,   1420.00,     32.00,   1684.00,   1633.00,   3317.00
      1.00,     32.00,   5065.00,    884.00,     30.00,   3523.00,   8893.00,     20.00,   8588.00,   9777.00,     50.00,   5979.00,  12436.00,  18415.00
      1.00,     33.00,    257.00,     37.00,      1.00,     56.00,    157.00,      1.00,    313.00,    194.00,      2.00,    295.00,    214.00,    509.00
      1.00,     34.00,    838.00,    170.00,      6.00,    302.00,    541.00,     30.00,   1140.00,    711.00,     36.00,   1014.00,    873.00,   1887.00
      1.00,     35.00,   2153.00,    338.00,     38.00,    382.00,    839.00,     12.00,   2535.00,   1177.00,     50.00,   2529.00,   1233.00,   3762.00
      1.00,     36.00,    466.00,     76.00,     11.00,    102.00,    150.00,      2.00,    568.00,    226.00,     13.00,    553.00,    254.00,    807.00
      1.00,     41.00,   5433.00,    881.00,    318.00,   1651.00,   4279.00,     83.00,   7084.00,   5160.00,    401.00,   6632.00,   6013.00,  12645.00
      1.00,     43.00,   1255.00,    197.00,    140.00,    260.00,   1025.00,    172.00,   1515.00,   1222.00,    312.00,   1592.00,   1457.00,   3049.00
      1.00,     44.00,   1510.00,    284.00,     30.00,    361.00,    918.00,      7.00,   1871.00,   1202.00,     37.00,   1824.00,   1286.00,   3110.00
      1.00,     45.00,    153.00,     27.00,     23.00,     19.00,     89.00,         0,    172.00,    116.00,     23.00,    203.00,    108.00,    311.00
      1.00,     46.00,    176.00,     21.00,     29.00,     30.00,     85.00,     11.00,    206.00,    106.00,     40.00,    226.00,    126.00,    352.00
      1.00,     47.00,    359.00,     64.00,     44.00,     58.00,    117.00,     11.00,    417.00,    181.00,     55.00,    467.00,    186.00,    653.00
      1.00,     48.00,    382.00,     58.00,     11.00,     78.00,    139.00,      5.00,    460.00,    197.00,     16.00,    451.00,    222.00,    673.00
      1.00,     49.00,    258.00,     55.00,     15.00,     79.00,    122.00,      3.00,    337.00,    177.00,     18.00,    328.00,    204.00,    532.00
      1.00,     51.00,     66.00,      7.00,         0,     16.00,     30.00,         0,     82.00,     37.00,         0,     73.00,     46.00,    119.00
      1.00,     52.00,    153.00,     22.00,      3.00,     55.00,     94.00,         0,    208.00,    116.00,      3.00,    178.00,    149.00,    327.00
      1.00,     61.00,     17.00,         0,         0,      5.00,      9.00,         0,     22.00,      9.00,         0,     17.00,     14.00,     31.00
      1.00,     62.00,     41.00,      6.00,         0,     13.00,     38.00,         0,     54.00,     44.00,         0,     47.00,     51.00,     98.00
      1.00,     71.00,   5563.00,    988.00,      1.00,   2690.00,   7574.00,     13.00,   8253.00,   8562.00,     14.00,   6552.00,  10277.00,  16829.00
      1.00,     72.00,   9613.00,   1827.00,     17.00,   9310.00,  21693.00,     25.00,  18923.00,  23520.00,     42.00,  11457.00,  31028.00,  42485.00
      1.00,     73.00,    806.00,    141.00,      1.00,    181.00,    393.00,      2.00,    987.00,    534.00,      3.00,    948.00,    576.00,   1524.00
      1.00,     74.00,   6829.00,   1323.00,     29.00,   4870.00,  12064.00,     41.00,  11699.00,  13387.00,     70.00,   8181.00,  16975.00,  25156.00
      1.00,     75.00,    934.00,    160.00,      4.00,    397.00,    954.00,      6.00,   1331.00,   1114.00,     10.00,   1098.00,   1357.00,   2455.00
      1.00,     76.00,    801.00,    149.00,      3.00,    224.00,    449.00,      4.00,   1025.00,    598.00,      7.00,    953.00,    677.00,   1630.00
      1.00,     81.00,    106.00,     11.00,      3.00,     19.00,     22.00,         0,    125.00,     33.00,      3.00,    120.00,     41.00,    161.00
      1.00,     82.00,     53.00,      5.00,      1.00,     19.00,     28.00,         0,     72.00,     33.00,      1.00,     59.00,     47.00,    106.00
      1.00,     83.00,     51.00,      9.00,         0,     17.00,     37.00,         0,     68.00,     46.00,         0,     60.00,     54.00,    114.00
      1.00,     91.00,     71.00,     13.00,      1.00,     17.00,     30.00,         0,     88.00,     43.00,      1.00,     85.00,     47.00,    132.00
      1.00,     92.00,    102.00,     16.00,         0,     31.00,     55.00,         0,    133.00,     71.00,         0,    118.00,     86.00,    204.00
      1.00,    101.00,    316.00,     37.00,         0,     55.00,     69.00,      1.00,    371.00,    106.00,      1.00,    353.00,    125.00,    478.00
      1.00,    102.00,    203.00,     34.00,         0,     40.00,    122.00,         0,    243.00,    156.00,         0,    237.00,    162.00,    399.00
      1.00,    111.00,     44.00,     10.00,         0,      9.00,     51.00,         0,     53.00,     61.00,         0,     54.00,     60.00,    114.00
      1.00,    112.00,     84.00,      8.00,         0,     31.00,     49.00,         0,    115.00,     57.00,         0,     92.00,     80.00,    172.00
      1.00,    113.00,     58.00,     13.00,         0,     19.00,     53.00,         0,     77.00,     66.00,         0,     71.00,     72.00,    143.00
      1.00,    114.00,    203.00,     38.00,      1.00,     72.00,    148.00,         0,    275.00,    186.00,      1.00,    242.00,    220.00,    462.00
      1.00,    121.00,     10.00,      1.00,         0,      6.00,     10.00,         0,     16.00,     11.00,         0,     11.00,     16.00,     27.00
      1.00,    122.00,         0,         0,         0,      1.00,         0,         0,      1.00,         0,         0,         0,      1.00,      1.00
      1.00,    123.00,      3.00,         0,         0,      2.00,      5.00,         0,      5.00,      5.00,         0,      3.00,      7.00,     10.00
      1.00,    124.00,      1.00,         0,         0,         0,         0,         0,      1.00,         0,         0,      1.00,         0,      1.00
      1.00,    131.00,      8.00,      1.00,         0,      2.00,         0,         0,     10.00,      1.00,         0,      9.00,      2.00,     11.00
      1.00,    132.00,     16.00,      3.00,      1.00,     10.00,     36.00,         0,     26.00,     39.00,      1.00,     20.00,     46.00,     66.00
      1.00,    133.00,      1.00,         0,         0,      1.00,      1.00,         0,      2.00,      1.00,         0,      1.00,      2.00,      3.00
      1.00,    134.00,         0,      1.00,         0,      1.00,      5.00,         0,      1.00,      6.00,         0,      1.00,      6.00,      7.00
      1.00,    141.00,   4223.00,    674.00,         0,    740.00,   2187.00,      3.00,   4963.00,   2861.00,      3.00,   4897.00,   2930.00,   7827.00
      1.00,    142.00,  13444.00,   2301.00,     39.00,   5402.00,  15210.00,     37.00,  18846.00,  17511.00,     76.00,  15784.00,  20649.00,  36433.00
