ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
     41.00,     44.00,   7625.00,   1412.00,    192.00,   9121.00,  20772.00,    271.00,  16746.00,  22184.00,    463.00,   9229.00,  30164.00,  39393.00
     41.00,     45.00,    585.00,    104.00,     76.00,    316.00,    613.00,     45.00,    901.00,    717.00,    121.00,    765.00,    974.00,   1739.00
     41.00,     46.00,    806.00,    130.00,     69.00,    474.00,    910.00,     54.00,   1280.00,   1040.00,    123.00,   1005.00,   1438.00,   2443.00
     41.00,     47.00,   1450.00,    240.00,    137.00,    512.00,   1333.00,     75.00,   1962.00,   1573.00,    212.00,   1827.00,   1920.00,   3747.00
     41.00,     48.00,   1537.00,    320.00,    103.00,    417.00,   1066.00,     41.00,   1954.00,   1386.00,    144.00,   1960.00,   1524.00,   3484.00
     41.00,     49.00,   1134.00,    223.00,     60.00,    292.00,    606.00,     21.00,   1426.00,    829.00,     81.00,   1417.00,    919.00,   2336.00
     41.00,     51.00,    194.00,     38.00,      2.00,     38.00,     93.00,      2.00,    232.00,    131.00,      4.00,    234.00,    133.00,    367.00
     41.00,     52.00,    318.00,     69.00,     17.00,     55.00,    100.00,      3.00,    373.00,    169.00,     20.00,    404.00,    158.00,    562.00
     41.00,     61.00,     73.00,     20.00,      4.00,     25.00,     40.00,      3.00,     98.00,     60.00,      7.00,     97.00,     68.00,    165.00
     41.00,     62.00,    131.00,     37.00,      5.00,     37.00,     75.00,      1.00,    168.00,    112.00,      6.00,    173.00,    113.00,    286.00
     41.00,     71.00,   1628.00,    348.00,     10.00,    387.00,   1133.00,     21.00,   2015.00,   1481.00,     31.00,   1986.00,   1541.00,   3527.00
     41.00,     72.00,   4004.00,    816.00,     78.00,   1564.00,   4704.00,    103.00,   5568.00,   5520.00,    181.00,   4898.00,   6371.00,  11269.00
     41.00,     73.00,    627.00,    155.00,      1.00,    154.00,    352.00,     16.00,    781.00,    507.00,     17.00,    783.00,    522.00,   1305.00
     41.00,     74.00,   8627.00,   1753.00,    139.00,   9479.00,  23726.00,    315.00,  18106.00,  25479.00,    454.00,  10519.00,  33520.00,  44039.00
     41.00,     75.00,   1467.00,    276.00,     21.00,    781.00,   2267.00,     17.00,   2248.00,   2543.00,     38.00,   1764.00,   3065.00,   4829.00
     41.00,     76.00,    944.00,    168.00,      9.00,    247.00,    698.00,     12.00,   1191.00,    866.00,     21.00,   1121.00,    957.00,   2078.00
     41.00,     81.00,    316.00,     74.00,      4.00,     50.00,     90.00,      5.00,    366.00,    164.00,      9.00,    394.00,    145.00,    539.00
     41.00,     82.00,    182.00,     35.00,         0,     50.00,    140.00,      1.00,    232.00,    175.00,      1.00,    217.00,    191.00,    408.00
     41.00,     83.00,    197.00,     55.00,      5.00,     59.00,    150.00,      3.00,    256.00,    205.00,      8.00,    257.00,    212.00,    469.00
     41.00,     91.00,    234.00,     42.00,      4.00,     46.00,     94.00,      1.00,    280.00,    136.00,      5.00,    280.00,    141.00,    421.00
     41.00,     92.00,    253.00,     49.00,      3.00,     40.00,    181.00,      2.00,    293.00,    230.00,      5.00,    305.00,    223.00,    528.00
     41.00,    101.00,    169.00,     29.00,         0,     36.00,    110.00,         0,    205.00,    139.00,         0,    198.00,    146.00,    344.00
     41.00,    102.00,    138.00,     39.00,         0,     29.00,     87.00,      1.00,    167.00,    126.00,      1.00,    177.00,    117.00,    294.00
     41.00,    111.00,     22.00,      2.00,         0,      6.00,     22.00,         0,     28.00,     24.00,         0,     24.00,     28.00,     52.00
     41.00,    112.00,     18.00,      4.00,         0,     12.00,      5.00,         0,     30.00,      9.00,         0,     22.00,     17.00,     39.00
     41.00,    113.00,     47.00,      7.00,         0,     12.00,     40.00,         0,     59.00,     47.00,         0,     54.00,     52.00,    106.00
     41.00,    114.00,    112.00,     15.00,         0,     34.00,    117.00,         0,    146.00,    132.00,         0,    127.00,    151.00,    278.00
     41.00,    121.00,     32.00,      9.00,         0,     11.00,     35.00,         0,     43.00,     44.00,         0,     41.00,     46.00,     87.00
     41.00,    122.00,         0,         0,         0,      6.00,      2.00,         0,      6.00,      2.00,         0,         0,      8.00,      8.00
     41.00,    123.00,     28.00,      6.00,         0,      5.00,     27.00,         0,     33.00,     33.00,         0,     34.00,     32.00,     66.00
     41.00,    124.00,      1.00,         0,         0,      1.00,         0,         0,      2.00,         0,         0,      1.00,      1.00,      2.00
     41.00,    131.00,     14.00,      1.00,         0,      2.00,      1.00,         0,     16.00,      2.00,         0,     15.00,      3.00,     18.00
     41.00,    132.00,    108.00,     30.00,      9.00,     36.00,     76.00,      1.00,    144.00,    106.00,     10.00,    147.00,    113.00,    260.00
     41.00,    133.00,      2.00,         0,         0,      5.00,      3.00,         0,      7.00,      3.00,         0,      2.00,      8.00,     10.00
     41.00,    134.00,     13.00,      3.00,      1.00,      5.00,      7.00,         0,     18.00,     10.00,      1.00,     17.00,     12.00,     29.00
     41.00,    141.00,    140.00,     24.00,         0,     52.00,    219.00,         0,    192.00,    243.00,         0,    164.00,    271.00,    435.00
     41.00,    142.00,    621.00,     91.00,      3.00,    158.00,    569.00,      4.00,    779.00,    660.00,      7.00,    715.00,    731.00,   1446.00
     41.00,    143.00,    697.00,    140.00,      9.00,    277.00,    827.00,     11.00,    974.00,    967.00,     20.00,    846.00,   1115.00,   1961.00
     41.00,    151.00,     30.00,      7.00,         0,     15.00,     45.00,         0,     45.00,     52.00,         0,     37.00,     60.00,     97.00
     41.00,    152.00,     88.00,     21.00,         0,     36.00,     66.00,         0,    124.00,     87.00,         0,    109.00,    102.00,    211.00
     41.00,    153.00,    247.00,     55.00,         0,     54.00,    238.00,         0,    301.00,    293.00,         0,    302.00,    292.00,    594.00
     41.00,    163.00,    334.00,     49.00,      6.00,     48.00,    152.00,         0,    382.00,    201.00,      6.00,    389.00,    200.00,    589.00
     41.00,    164.00,     20.00,      5.00,         0,      9.00,     15.00,         0,     29.00,     20.00,         0,     25.00,     24.00,     49.00
     41.00,    171.00,    127.00,     20.00,         0,     15.00,     55.00,         0,    142.00,     75.00,         0,    147.00,     70.00,    217.00
     41.00,    172.00,     32.00,      7.00,         0,      8.00,     68.00,         0,     40.00,     75.00,         0,     39.00,     76.00,    115.00
     41.00,    173.00,    324.00,     47.00,      4.00,     55.00,    115.00,      1.00,    379.00,    162.00,      5.00,    375.00,    171.00,    546.00
     41.00,    181.00,     19.00,      9.00,         0,      5.00,      9.00,      1.00,     24.00,     18.00,      1.00,     28.00,     15.00,     43.00
     41.00,    182.00,     13.00,      1.00,         0,      2.00,     20.00,         0,     15.00,     21.00,         0,     14.00,     22.00,     36.00
     41.00,    191.00,    223.00,     42.00,      1.00,     51.00,    148.00,         0,    274.00,    190.00,      1.00,    266.00,    199.00,    465.00
     41.00,    192.00,     91.00,     16.00,         0,     33.00,     99.00,         0,    124.00,    115.00,         0,    107.00,    132.00,    239.00
     43.00,      1.00,    998.00,    165.00,     24.00,    200.00,    607.00,     21.00,   1198.00,    772.00,     45.00,   1187.00,    828.00,   2015.00
     43.00,      2.00,    765.00,    124.00,     20.00,    192.00,    565.00,     17.00,    957.00,    689.00,     37.00,    909.00,    774.00,   1683.00
     43.00,      3.00,   2930.00,    398.00,    176.00,   1073.00,   1889.00,     78.00,   4003.00,   2287.00,    254.00,   3504.00,   3040.00,   6544.00
     43.00,      4.00,   5420.00,    847.00,    213.00,   6226.00,   9918.00,    293.00,  11646.00,  10765.00,    506.00,   6480.00,  16437.00,  22917.00
     43.00,      5.00,   1231.00,    241.00,    107.00,    836.00,   1226.00,     95.00,   2067.00,   1467.00,    202.00,   1579.00,   2157.00,   3736.00
     43.00,      6.00,   6511.00,    978.00,    442.00,   8300.00,  11899.00,    470.00,  14811.00,  12877.00,    912.00,   7931.00,  20669.00,  28600.00
     43.00,      7.00,   1459.00,    274.00,    218.00,    515.00,    979.00,    180.00,   1974.00,   1253.00,    398.00,   1951.00,   1674.00,   3625.00
     43.00,      8.00,   3200.00,    538.00,    868.00,   1722.00,   2897.00,    537.00,   4922.00,   3435.00,   1405.00,   4606.00,   5156.00,   9762.00
     43.00,      9.00,   1458.00,    294.00,    153.00,   1028.00,   2033.00,    121.00,   2486.00,   2327.00,    274.00,   1905.00,   3182.00,   5087.00
     43.00,     10.00,    312.00,     60.00,     16.00,    110.00,    193.00,      7.00,    422.00,    253.00,     23.00,    388.00,    310.00,    698.00
